structure,time,sample
Process,0.01,100
Thread,0.00,100
Process,0.04,200
Thread,0.01,200
Process,0.07,300
Thread,0.01,300
Process,0.08,400
Thread,0.02,400
Process,0.10,500
Thread,0.02,500
Process,0.12,600
Thread,0.02,600
Process,0.16,700
Thread,0.03,700
Process,0.17,800
Thread,0.03,800
Process,0.18,900
Thread,0.04,900
Process,0.20,1000
Thread,0.04,1000
Process,0.24,1100
Thread,0.05,1100
Process,0.25,1200
Thread,0.05,1200
Process,0.28,1300
Thread,0.05,1300
Process,0.31,1400
Thread,0.07,1400
Process,0.33,1500
Thread,0.07,1500
Process,0.35,1600
Thread,0.08,1600
Process,0.40,1700
Thread,0.09,1700
Process,0.40,1800
Thread,0.07,1800
Process,0.40,1900
Thread,0.09,1900
Process,0.44,2000
Thread,0.16,2000
Process,0.47,2100
Thread,0.11,2100
Process,0.47,2200
Thread,0.12,2200
Process,0.52,2300
Thread,0.11,2300
Process,0.57,2400
Thread,0.13,2400
Process,0.54,2500
Thread,0.13,2500
Process,0.59,2600
Thread,0.11,2600
Process,0.59,2700
Thread,0.11,2700
Process,0.63,2800
Thread,0.12,2800
Process,0.68,2900
Thread,0.13,2900
Process,0.67,3000
Thread,0.14,3000
Process,0.74,3100
Thread,0.32,3100
Process,0.69,3200
Thread,0.26,3200
Process,0.74,3300
Thread,0.13,3300
Process,0.73,3400
Thread,0.15,3400
Process,0.74,3500
Thread,0.15,3500
Process,0.75,3600
Thread,0.15,3600
Process,0.78,3700
Thread,0.15,3700
Process,0.78,3800
Thread,0.16,3800
Process,0.83,3900
Thread,0.16,3900
Process,0.83,4000
Thread,0.17,4000
Process,0.85,4100
Thread,0.17,4100
Process,0.87,4200
Thread,0.17,4200
Process,0.93,4300
Thread,0.26,4300
Process,0.89,4400
Thread,0.18,4400
Process,0.93,4500
Thread,0.19,4500
Process,0.95,4600
Thread,0.19,4600
Process,1.02,4700
Thread,0.20,4700
Process,1.03,4800
Thread,0.30,4800
Process,1.01,4900
Thread,0.21,4900
Process,1.08,5000
Thread,0.20,5000
Process,1.03,5100
Thread,0.22,5100
Process,1.09,5200
Thread,0.22,5200
Process,1.11,5300
Thread,0.21,5300
Process,1.11,5400
Thread,0.22,5400
Process,1.12,5500
Thread,0.23,5500
Process,1.17,5600
Thread,0.23,5600
Process,1.17,5700
Thread,0.23,5700
Process,1.17,5800
Thread,0.25,5800
Process,1.21,5900
Thread,0.26,5900
Process,1.25,6000
Thread,0.25,6000
Process,1.32,6100
Thread,0.27,6100
Process,1.31,6200
Thread,0.26,6200
Process,1.35,6300
Thread,0.26,6300
Process,1.32,6400
Thread,0.26,6400
Process,1.35,6500
Thread,0.27,6500
Process,1.43,6600
Thread,0.29,6600
Process,1.43,6700
Thread,0.48,6700
Process,1.68,6800
Thread,0.55,6800
Process,1.73,6900
Thread,0.83,6900
Process,1.75,7000
Thread,1.21,7000
Process,1.88,7100
Thread,1.18,7100
Process,1.91,7200
Thread,1.09,7200
Process,1.94,7300
Thread,1.33,7300
Process,1.89,7400
Thread,1.28,7400
Process,1.86,7500
Thread,0.45,7500
Process,1.93,7600
Thread,0.78,7600
Process,2.00,7700
Thread,1.01,7700
Process,1.97,7800
Thread,0.96,7800
Process,1.97,7900
Thread,0.64,7900
Process,2.04,8000
Thread,1.15,8000
Process,2.05,8100
Thread,0.46,8100
Process,2.06,8200
Thread,0.41,8200
Process,2.08,8300
Thread,1.09,8300
Process,2.06,8400
Thread,0.62,8400
Process,1.81,8500
Thread,0.35,8500
Process,1.91,8600
Thread,0.36,8600
Process,1.98,8700
Thread,0.37,8700
Process,1.95,8800
Thread,0.36,8800
Process,1.88,8900
Thread,0.38,8900
Process,1.98,9000
Thread,0.39,9000
Process,2.00,9100
Thread,0.65,9100
Process,2.12,9200
Thread,0.40,9200
Process,2.20,9300
Thread,0.47,9300
Process,2.20,9400
Thread,0.42,9400
Process,2.09,9500
Thread,0.41,9500
Process,2.02,9600
Thread,0.41,9600
Process,2.14,9700
Thread,0.43,9700
Process,2.17,9800
Thread,0.45,9800
Process,2.16,9900
Thread,0.60,9900
Process,2.32,10000
Thread,0.52,10000
